label_name	head	relation	tail	response
beat	beat	generated by	musician	Yes.
bell	bell	occurs in	synagogue	Yes.
shower	shower	used for	washing	Yes.
roll	roll	can be heard in	kitchen	Yes.
crying	crying	originates from	baby	Yes.
bongos	bongos	indicates	percussion	Yes.
music	music	has subtype	didgeridoo	Yes.
dishwasher	dishwasher	event composed of	water flow	Yes.
musical instrument	musical instrument	has sibling	music	Yes.
speech	speech	can be heard in	public speaking venue	Yes.
rattle (instrument)	rattle (instrument)	belongs to class	musical instrument	Yes.
crow caw	crow caw	belongs to class	crow	Yes.
dog	dog	has children	dog yipping	Yes.
car engine accelerating	car engine accelerating	belongs to class	car	Yes.
video game music	video game music	has sibling	music role	Yes.
large rotating saw	large rotating saw	occurs in	construction site	Yes.
donkey	donkey	occurs in	farm	Yes.
door	door	associated with environment	hotel	Yes.
vehicle	vehicle	has subtype	car skidding	Yes.
piano	piano	performed by	musician	Yes.
bassoon	bassoon	can be heard in	concert hall	Yes.
slosh	slosh	overlaps with	water splashing	Yes.
wood thrush calling	wood thrush calling	has parent	bird vocalization call or song	Yes.
vibration	vibration	has parent	noise	Yes.
door slam	door slam	is sound of	metal	Yes.
wild animal	wild animal	has subtype	mynah bird	Yes.
eruption	eruption	has sibling	non-machinery impact	Yes.
alto saxophone	alto saxophone	can be heard in	jazz club	Yes.
piano	piano	has children	electric piano	Yes.
warbler chirping	warbler chirping	emitted by	bird	Yes.
wolf whistling	wolf whistling	belongs to class	canidae dogs wolves	Yes.
footsteps	footsteps	co-occurs with	footsteps on grass	Yes.
clip-clop	clip-clop	overlaps with	footsteps	Yes.
light engine (high frequency)	light engine (high frequency)	has children	electric grinder grinding	Yes.
dishes or pots or pans	dishes or pots or pans	belongs to class	things	Yes.
music	music	associated with environment	festival	Yes.
electric train	electric train	caused by	electric motor	Yes.
rope skipping	rope skipping	occurs in	gym	Yes.
cutlery or silverware	cutlery or silverware	occurs in	kitchen	Yes.
beat	beat	originates from	percussion	Yes.
djembe	djembe	associated with environment	music studio session	Yes.
large rotating saw	large rotating saw	belongs to class	things	Yes.
dog whimpering	dog whimpering	caused by	pain	Yes.
bird vocalization call or song	bird vocalization call or song	localized in	open field	Yes.
fly housefly	fly housefly	occurs in	home	Yes.
mandolin	mandolin	overlaps with	mandolin family	Yes.
sharpen knife	sharpen knife	belongs to class	domestic sounds	Yes.
baby babbling	baby babbling	occurs in	shop	Yes.
harmonica	harmonica	perceived as	musical	Yes.
crackle	crackle	belongs to class	fire	Yes.
metro	metro	scene contains	train wheels screeching	Yes.
firing cannon	firing cannon	can be heard in	battlefield	Yes.
typewriter	typewriter	associated with environment	library	Yes.
walking	walking	is a type of	human activity	Yes.
human non-speech sounds	human non-speech sounds	has subtype	drinking	Yes.
train	train	is instance of	locomotive	Yes.
vehicle	vehicle	originates from	parking garage entrance	Yes.
bus wheel rolling	bus wheel rolling	has sibling	bus	Yes.
explosion	explosion	occurs in	street	Yes.
gong	gong	localized in	observatory	Yes.
water	water	associated with environment	lake	Yes.
change bell ringing	change bell ringing	belongs to class	bell	Yes.
walking	walking	has subtype	footsteps on sand	Yes.
gush	gush	event composed of	water	Yes.
rail transport	rail transport	belongs to class	vehicle	Yes.
goat or sheep bleat	goat or sheep bleat	occurs in	farm	Yes.
buzzer ringing	buzzer ringing	is a type of	mechanical	Yes.
sound effect	sound effect	has parent	other sourceless	Yes.
dog	dog	responds to	whining	Yes.
saxophone	saxophone	has subtype	instrument	Yes.
singing	singing	has children	male singing	Yes.
wheel rolling	wheel rolling	occurs in	construction site	Yes.
heavy engine (low frequency)	heavy engine (low frequency)	occurs in	busy street	Yes.
crunch	crunch	occurs in	room	Yes.
animal	animal	has subtype	cow lowing	Yes.
electric trimmer	electric trimmer	belongs to class	bathroom sounds	Yes.
woodpecker	woodpecker	associated with environment	forest	Yes.
marimba and xylophone	marimba and xylophone	localized in	concert stage	Yes.
shouting	shouting	has subtype	whoop	Yes.
vibraphone	vibraphone	part of scene	music studio	Yes.
grinding	grinding	can be heard in	machine shop	Yes.
motorcycle	motorcycle	part of scene	road	Yes.
harpsichord	harpsichord	scene contains	music concert venue	Yes.
engine	engine	occurs in	car interior	Yes.
flamenco music	flamenco music	has sibling	latin america music	Yes.
chime	chime	temporal component of	ringing	Yes.
throat cleaning	throat cleaning	occurs in	car interior	Yes.
harmonica	harmonica	has pitch	medium	Yes.
door domestic	door domestic	event composed of	door opening	Yes.
hi-hat	hi-hat	precedes	drum beat	Yes.
engine idling	engine idling	localized in	parking lot	Yes.
chord	chord	temporal component of	harmony	Yes.
sound equipment	sound equipment	has subtype	microphone	Yes.
indoor environment	indoor environment	has subtype	small room	Yes.
music	music	has subtype	classical music	Yes.
whoosh swoosh swish	whoosh swoosh swish	belongs to class	onomatopoeia	Yes.
power tool	power tool	precedes	using power tool for construction project	Yes.
microphone	microphone	has parent	equipment	Yes.
motorcycle engine accelerating	motorcycle engine accelerating	belongs to class	road vehicle	Yes.
police radio chatter	police radio chatter	generated by	police dispatch	Yes.
ping	ping	temporal component of	event	Yes.
object impact	object impact	has subtype	object rustling	Yes.
cash register beeping	cash register beeping	has parent	mechanisms	Yes.
steelpan	steelpan	responds to	cultural expression	Yes.
human sounds	human sounds	has subtype	baby babbling	Yes.
chopping wood	chopping wood	has sibling	wood	Yes.
cow lowing	cow lowing	belongs to class	animal	Yes.
siren ringing	siren ringing	produces	emergency	Yes.
cat purring	cat purring	belongs to class	domestic animal	Yes.
traffic noise	traffic noise	has parent	things	Yes.
woodpecker	woodpecker	associated with environment	park	Yes.
liquid boiling	liquid boiling	occurs in	cafe or restaurant	Yes.
refrigerator	refrigerator	warns about	overheating	Yes.
alarm signal	alarm signal	has subtype	civil defense siren ringing	Yes.
bowling balls	bowling balls	originates from	bowling pin	Yes.
duck	duck	part of scene	lake	Yes.
pouring water	pouring water	generated by	pitcher	Yes.
opera	opera	can be heard in	concert hall	Yes.
song	song	described by	a musical composition or piece of music	Yes.
electric shaver	electric shaver	produced during	grooming	Yes.
shofar	shofar	part of scene	religious ceremony	Yes.
walking	walking	responds to	footsteps on ground	Yes.
field recording	field recording	perceived as	natural	Yes.
tambourine	tambourine	scene contains	street performance	Yes.
grunting	grunting	occurs in	construction site	Yes.
car brake	car brake	belongs to class	brakes squeaking	Yes.
trumpet	trumpet	overlaps with	parade	Yes.
motorcycle wheel rolling	motorcycle wheel rolling	generated by	road	Yes.
tambourine	tambourine	associated with environment	dance party	Yes.
sound of things	sound of things	has subtype	unit	Yes.
siren ringing	siren ringing	occurs in	public square	Yes.
chopping food	chopping food	produced during	preparing a meal	Yes.
video game/tv	video game/tv	has parent	reproduction	Yes.
sweeping	sweeping	described by	a task that involves removing dirt or debris from a specific area or surface	Yes.
large vehicle	large vehicle	has subtype	bus	Yes.
music	music	has subtype	melody	Yes.
tornado	tornado	occurs in	busy street	Yes.
acoustic environment	acoustic environment	has sibling	channel environment and background	Yes.
shower	shower	occurs in	home	Yes.
timpani	timpani	has subtype	percussion	Yes.
reverberation	reverberation	perceived as	echo	Yes.
flap	flap	occurs in	train	Yes.
telephone	telephone	described by	a device used for communication over the wireless network	Yes.
song	song	belongs to class	musical concepts	Yes.
music of bollywood	music of bollywood	belongs to class	asia music	Yes.
bird chirping	bird chirping	has children	mynah bird	Yes.
domestic sounds	domestic sounds	has subtype	object fall	Yes.
electronic dance music	electronic dance music	has parent	electronic music	Yes.
chainsaw	chainsaw	associated with environment	lumber yard	Yes.
mouse	mouse	produces	scurrying	Yes.
singing	singing	produced during	singing lesson	Yes.
dental drill	dental drill	has parent	power tool	Yes.
vibraphone	vibraphone	has subtype	percussion instrument	Yes.
clicking	clicking	has subtype	mouse click	Yes.
chimpanzee	chimpanzee	warns about	deforestation	Yes.
fire truck siren ringing	fire truck siren ringing	temporal component of	fire truck	Yes.
music	music	has subtype	drum machine	Yes.
musical concepts	musical concepts	scene contains	music recording studio live room	Yes.
sonar	sonar	originates from	submarine	Yes.
applause	applause	originates from	applause	Yes.
mosquito	mosquito	produces	buzzing	Yes.
plucked string instrument	plucked string instrument	has children	ukulele	Yes.
electric rotor drone	electric rotor drone	occurs in	city center	Yes.
explosion	explosion	has subtype	fireworks	Yes.
alarm signal	alarm signal	has subtype	telephone	Yes.
kitchen sounds	kitchen sounds	has children	water tap or faucet	Yes.
ukulele	ukulele	associated with event	stringed instrument	Yes.
chatter	chatter	originates from	people	Yes.
vehicle door opens or closes	vehicle door opens or closes	emitted by	car	Yes.
pizzicato	pizzicato	entails event	musical instrument	Yes.
clatter	clatter	responds to	striking two objects	Yes.
human non-speech sounds	human non-speech sounds	generated by	human physical activity	Yes.
road vehicle	road vehicle	occurs in	bus interior	Yes.
electric piano	electric piano	belongs to class	piano	Yes.
truck	truck	occurs in	construction site	Yes.
music	music	occurs in	elevator background music	Yes.
guiro	guiro	associated with environment	festival	Yes.
insect chirping	insect chirping	produced during	insect mating	Yes.
pouring water	pouring water	has sibling	natural sounds	Yes.
camera	camera	has children	single-lens reflex camera	Yes.
christian music	christian music	has parent	music genre	Yes.
cowbell	cowbell	emitted by	musician	Yes.
laughing	laughing	has children	snicker	Yes.
train horn	train horn	scene contains	train	Yes.
race car	race car	localized in	race track	Yes.
gong	gong	can be heard in	church	Yes.
screech	screech	has sibling	brief tone	Yes.
waterfall	waterfall	overlaps with	splashing water	Yes.
cattle or bovinae	cattle or bovinae	belongs to class	farm animal	Yes.
playing lacrosse	playing lacrosse	is a type of	athletic activity	Yes.
bagpipes	bagpipes	described by	a musical instrument played with bagpipes	Yes.
drum	drum	indicates	percussion	Yes.
drone	drone	has parent	musical concepts	Yes.
playing hockey	playing hockey	occurs in	sports stadium	Yes.
liquid dripping	liquid dripping	occurs in	kitchen	Yes.
police car siren ringing	police car siren ringing	belongs to class	emergency vehicle	Yes.
playing guitar	playing guitar	performed by	guitarist	Yes.
sound of things	sound of things	has subtype	truck compressor	Yes.
sound of things	sound of things	has subtype	kettle whistle	Yes.
gull seagull	gull seagull	belongs to class	animal	Yes.
harp	harp	is a type of	musical instrument	Yes.
sound of things	sound of things	has subtype	duck call (hunting tool)	Yes.
water tap or faucet	water tap or faucet	has duration	medium	Yes.
buzzer ringing	buzzer ringing	occurs in	cafe or restaurant	Yes.
music genre	music genre	has subtype	grime music	Yes.
guiro	guiro	is sound of	instrument	Yes.
wild animal	wild animal	has subtype	sea lion barking	Yes.
raindrop	raindrop	has subtype	rain drop	Yes.
miscellaneous sources	miscellaneous sources	has subtype	arrow	Yes.
clatter	clatter	follows	stone on metal	Yes.
dog howling	dog howling	has subtype	howling	Yes.
drilling	drilling	warns about	environmental hazard	Yes.
crow caw	crow caw	belongs to class	wild animal	Yes.
insect	insect	associated with event	crawling	Yes.
soprano saxophone	soprano saxophone	belongs to class	wind or woodwind instrument	Yes.
percussion	percussion	overlaps with	beat	Yes.
rumble	rumble	associated with event	earthquake	Yes.
small/medium rotating saw	small/medium rotating saw	can be heard in	woodshop	Yes.
crying	crying	has sibling	human non-speech sounds	Yes.
truck	truck	has children	truck engine	Yes.
speech	speech	performed by	human	Yes.
owl hoot	owl hoot	has parent	owl	Yes.
sampler	sampler	described by	an electronic device used to record and manipulate sound	Yes.
door wood creak	door wood creak	localized in	front door	Yes.
dub music	dub music	belongs to class	reggae music	Yes.
thunder	thunder	is instance of	storm	Yes.
crowd	crowd	is a type of	gathering	Yes.
door knock	door knock	generated by	knocker	Yes.
environmental noise	environmental noise	occurs in	train station	Yes.
oboe	oboe	indicates	orchestra instrument	Yes.
trumpet	trumpet	precedes	ceremony of independence	Yes.
snare drum	snare drum	has subtype	drum kit	Yes.
truck engine idling	truck engine idling	belongs to class	large vehicle	Yes.
car crash	car crash	belongs to class	road safety incident	Yes.
engine knocking	engine knocking	occurs in	city center	Yes.
alarm clock ringing	alarm clock ringing	is a type of	timekeeping	Yes.
organ	organ	has parent	keyboard (musical)	Yes.
sighing	sighing	has sibling	breathing	Yes.
duck	duck	produces	quacking	Yes.
bus wheel rolling	bus wheel rolling	belongs to class	large vehicle	Yes.
dishwasher	dishwasher	is instance of	appliance	Yes.
sound of things	sound of things	has subtype	metro leaving	Yes.
metro	metro	has children	metro approaching	Yes.
firecracker	firecracker	belongs to class	non-machinery impact	Yes.
cymbal	cymbal	occurs in	concert	Yes.
harp	harp	has pitch	medium	Yes.
windscreen wiper	windscreen wiper	belongs to class	things	Yes.
fusillade	fusillade	described by	a rapid, high-pitched sound made by a bird in flight, often heard in the forest	Yes.
domestic sounds	domestic sounds	has subtype	brushing teeth	Yes.
emergency vehicle	emergency vehicle	overlaps with	siren	Yes.
tornado	tornado	associated with environment	weather phenomenon	Yes.
owl hoot	owl hoot	occurs in	forest	Yes.
rodents rats mice	rodents rats mice	overlaps with	mice	Yes.
blender	blender	has parent	kitchen sounds	Yes.
water vehicle	water vehicle	is instance of	ship	Yes.
motorcycle engine accelerating	motorcycle engine accelerating	overlaps with	motorcycle engine backfiring	Yes.
rapping	rapping	indicates	performance	Yes.
breathing	breathing	has subtype	snorting	Yes.
ringtone	ringtone	occurs in	music player	Yes.
door slam	door slam	can be heard in	office	Yes.
emergency vehicle	emergency vehicle	perceived as	siren	Yes.
sitar	sitar	has duration	medium	Yes.
tambourine	tambourine	originates from	music genre	Yes.
bird	bird	has subtype	gull seagull	Yes.
music	music	performed by	orchestra	Yes.
mechanical fan	mechanical fan	belongs to class	things	Yes.
jet engine	jet engine	has sibling	aircraft engine	Yes.
middle eastern music	middle eastern music	generated by	instruments	Yes.
water stream	water stream	occurs in	forest	Yes.
motorcycle engine idling	motorcycle engine idling	generated by	motorcycle engine	Yes.
animal	animal	has subtype	duck quack	Yes.
organ	organ	can be heard in	music studio	Yes.
firecracker	firecracker	produced during	festivals	Yes.
whimpering	whimpering	has sibling	crying	Yes.
knock	knock	localized in	house	Yes.
road vehicle	road vehicle	temporal component of	driving	Yes.
light engine (high frequency)	light engine (high frequency)	has sibling	engine	Yes.
animal	animal	has subtype	snake	Yes.
vehicle passing by	vehicle passing by	has subtype	wheel rolling	Yes.
kettle whistle	kettle whistle	localized in	kitchen	Yes.
melody	melody	associated with environment	festival stage	Yes.
cowbell	cowbell	occurs in	festival	Yes.
car wheel rolling	car wheel rolling	belongs to class	road vehicle	Yes.
clickety-clack	clickety-clack	has subtype	mechanical	Yes.
duct tape	duct tape	has parent	domestic sounds	Yes.
dog pant	dog pant	localized in	forest	Yes.
sound of things	sound of things	has subtype	bus brake	Yes.
ice cream truck	ice cream truck	can be heard in	beach	Yes.
cymbal	cymbal	triggers	percussion	Yes.
harpsichord	harpsichord	used for	music	Yes.
cricket	cricket	performed by	insect	Yes.
squeal	squeal	is instance of	event	Yes.
metronome	metronome	is a type of	timekeeping device	Yes.
firecracker	firecracker	triggers	fireworks	Yes.
singing	singing	is a type of	music	Yes.
gong	gong	localized in	stadium	Yes.
acoustic environment	acoustic environment	has children	echo	Yes.
air horn or truck horn	air horn or truck horn	occurs in	public square	Yes.
pizzicato	pizzicato	event composed of	percussion instrument	Yes.
harmonica	harmonica	associated with environment	music performance	Yes.
conversation	conversation	belongs to class	talking	Yes.
motorcycle	motorcycle	can be heard in	parking lot	Yes.
cupboard open or close	cupboard open or close	belongs to class	domestic sounds	Yes.
banjo	banjo	part of scene	live music performance	Yes.
marimba and xylophone	marimba and xylophone	co-occurs with	percussion	Yes.
gong	gong	is instance of	chime	Yes.
orchestra	orchestra	has subtype	chamber orchestra with strings	Yes.
washboard	washboard	occurs in	train caboose	Yes.
camera	camera	belongs to class	things	Yes.
canidae dogs wolves	canidae dogs wolves	has children	wolf whistling	Yes.
opera	opera	precedes	theatrical performance	Yes.
cat	cat	responds to	meowing	Yes.
fusillade	fusillade	can be heard in	gunfire	Yes.
jingle music	jingle music	belongs to class	music	Yes.
playing volleyball	playing volleyball	produced during	game	Yes.
windscreen wiper	windscreen wiper	has parent	things	Yes.
shofar	shofar	has sibling	musical instrument	Yes.
punk rock	punk rock	has parent	rock music	Yes.
metronome	metronome	used for	timing	Yes.
water tap or faucet	water tap or faucet	produced during	cleaning dishes	Yes.
rodents rats mice	rodents rats mice	is instance of	rats	Yes.
harmonica	harmonica	described by	a type of brass instrument used in jazz music	Yes.
music genre	music genre	has subtype	drone music	Yes.
smoke alarm	smoke alarm	precedes	smoke detector alarm	Yes.
harp	harp	has subtype	plucked string instrument type	Yes.
road vehicle	road vehicle	has subtype	car alarm ringing	Yes.
mandolin	mandolin	part of scene	music instrument	Yes.
air brake	air brake	belongs to class	truck	Yes.
whispering	whispering	has duration	short	Yes.
car skidding	car skidding	generated by	driver error	Yes.
vehicle	vehicle	has subtype	metro approaching	Yes.
tuning fork	tuning fork	belongs to class	bell ringing	Yes.
throat cleaning	throat cleaning	occurs in	vehicle interior	Yes.
fox barking	fox barking	localized in	woods	Yes.
natural sounds	natural sounds	has subtype	squishing water	Yes.
door slam	door slam	indicates	closing	Yes.
bagpipes	bagpipes	overlaps with	cultural event music	Yes.
snare drum	snare drum	indicates	drumming	Yes.
truck	truck	has sibling	large vehicle	Yes.
mynah bird	mynah bird	belongs to class	animal	Yes.
marching	marching	generated by	sports team	Yes.
tractor	tractor	belongs to class	heavy engine (low frequency)	Yes.
ocean	ocean	warns about	volcanic eruption warning	Yes.
ice cream truck	ice cream truck	localized in	street	Yes.
vehicle	vehicle	has subtype	rowboat canoe kayak	Yes.
hiccup	hiccup	belongs to class	human non-speech sounds	Yes.
music	music	has subtype	brass instrument	Yes.
door wood creak	door wood creak	emitted by	wood	Yes.
human non-speech sounds	human non-speech sounds	has sibling	human sounds	Yes.
maraca	maraca	occurs in	street performance	Yes.
bongos	bongos	associated with environment	cultural event	Yes.
human sounds	human sounds	has subtype	choir singing	Yes.
gong	gong	precedes	elevator door opening	Yes.
djembe	djembe	associated with environment	music jam	Yes.
human sounds	human sounds	has subtype	vocal music	Yes.
drilling	drilling	can be heard in	oil rig	Yes.
cattle or bovinae	cattle or bovinae	has subtype	bovinae	Yes.
human voice	human voice	has children	laughing	Yes.
roller coaster	roller coaster	localized in	amusement park	Yes.
microphone	microphone	scene contains	live performance	Yes.
tambourine	tambourine	part of scene	dance performance	Yes.
coffee machine	coffee machine	occurs in	home	Yes.
kitchen sounds	kitchen sounds	has subtype	knife	Yes.
engine	engine	has subtype	electric grinder grinding	Yes.
telephone	telephone	originates from	device	Yes.
mechanical fan	mechanical fan	has subtype	bathroom ventilation fan	Yes.
goose honking	goose honking	has parent	goose	Yes.
fire	fire	has sibling	natural sounds	Yes.
drum	drum	occurs in	drum festival	Yes.
snake rattling	snake rattling	belongs to class	animal	Yes.
domestic animal	domestic animal	has children	cat	Yes.
timbales	timbales	is variant of	steelpan	Yes.
marching	marching	perceived as	military	Yes.
toothbrush	toothbrush	occurs in	bathroom	Yes.
music	music	has subtype	middle eastern music	Yes.
motorboat speedboat	motorboat speedboat	occurs in	river	Yes.
whistle	whistle	used for	alerting	Yes.
tender music	tender music	has parent	music mood	Yes.
coffee machine	coffee machine	emitted by	water	Yes.
crack	crack	associated with environment	woodware	Yes.
eating noodles	eating noodles	belongs to class	digestive	Yes.
electronic music	electronic music	has subtype	electronica	Yes.
air conditioner	air conditioner	localized in	building	Yes.
music mood	music mood	part of scene	music performance	Yes.
drum kit	drum kit	produced during	music recording	Yes.
rattle (instrument)	rattle (instrument)	event composed of	metal on metal	Yes.
cat hissing	cat hissing	belongs to class	animal	Yes.
human voice	human voice	is a type of	speech	Yes.
door opens or closes	door opens or closes	occurs in	apartment building	Yes.
knock	knock	precedes	phone ringing	Yes.
child babbling	child babbling	has sibling	human non-speech sounds	Yes.
car brake	car brake	generated by	road condition	Yes.
cricket	cricket	can be heard in	wetlands	Yes.
rustling leaves	rustling leaves	caused by	movement	Yes.
dog	dog	is sound of	barking	Yes.
vehicle	vehicle	produced during	racing	Yes.
sawing	sawing	overlaps with	wood cutting	Yes.
flute	flute	occurs in	music festival	Yes.
crackle	crackle	belongs to class	natural sounds	Yes.
bird	bird	entails event	singing	Yes.
rapping	rapping	has subtype	rap music	Yes.
woodpecker	woodpecker	has duration	medium	Yes.
humming	humming	has pitch	high	Yes.
motorcycle	motorcycle	occurs in	city center	Yes.
jet engine	jet engine	has parent	aircraft engine	Yes.
water vehicle	water vehicle	transcribed as	ferry	Yes.
rustle	rustle	localized in	tundra	Yes.
vibraphone	vibraphone	has parent	mallet percussion	Yes.
car wheel rolling	car wheel rolling	occurs in	street	Yes.
wild animal	wild animal	has subtype	cuckoo bird calling	Yes.
bus	bus	produces	seat	Yes.
toothbrush	toothbrush	has sibling	brushing teeth	Yes.
fire alarm ringing	fire alarm ringing	occurs in	airport	Yes.
sound reproduction	sound reproduction	has subtype	field recording	Yes.
human activities	human activities	scene contains	city traffic	Yes.
lullaby	lullaby	occurs in	crib	Yes.
digestive	digestive	occurs in	kitchen	Yes.
rail transport	rail transport	has children	train whistle	Yes.
keys jangling	keys jangling	precedes	alarm clock ringing	Yes.
bus wheel rolling	bus wheel rolling	occurs in	busy street	Yes.
fizz	fizz	can be heard in	bottle	Yes.
vehicle	vehicle	co-occurs with	emergency vehicle	Yes.
drum	drum	overlaps with	crowd cheering	Yes.
musical concepts	musical concepts	has subtype	song	Yes.
typewriter	typewriter	localized in	writing desk	Yes.
lawn mower	lawn mower	belongs to class	light engine (high frequency)	Yes.
playing squash	playing squash	can be heard in	kitchen	Yes.
car	car	occurs in	car interior	Yes.
crackle	crackle	warns about	equipment malfunction	Yes.
dog pant	dog pant	can be heard in	park	Yes.
waterfall	waterfall	is a type of	natural phenomenon	Yes.
crying	crying	produced during	emotional expression	Yes.
percussion	percussion	has children	washboard	Yes.
bowling balls	bowling balls	has parent	non-machinery impact	Yes.
cello	cello	localized in	music studio	Yes.
clavinet	clavinet	described by	a musical instrument with a wooden body and metal strings	Yes.
car brake	car brake	co-occurs with	sudden stopping	Yes.
vehicle siren ringing	vehicle siren ringing	occurs in	quiet street	Yes.
arc welding	arc welding	belongs to class	tools	Yes.
giggling	giggling	localized in	living room	Yes.
air brake	air brake	precedes	car slowing down	Yes.
truck engine accelerating	truck engine accelerating	occurs in	truck interior	Yes.
bus engine	bus engine	belongs to class	engine	Yes.
singing	singing	has children	sympathetic singing	Yes.
flute	flute	has sibling	wind or woodwind instrument	Yes.
squeal	squeal	belongs to class	source-ambiguous	Yes.
scratch	scratch	has sibling	surface contact	Yes.
music	music	has subtype	accordion	Yes.
door	door	has timbre	metallic	Yes.
harmonic	harmonic	overlaps with	music	Yes.
horse nicker	horse nicker	used for	indicating excitement	Yes.
tick-tock	tick-tock	precedes	alarm clock	Yes.
bus wheel rolling	bus wheel rolling	has sibling	wheel rolling	Yes.
turkey	turkey	overlaps with	turkey call	Yes.
sonar	sonar	occurs in	submarine	Yes.
human activities	human activities	has subtype	playing volleyball	Yes.
striking pool	striking pool	occurs in	swimming pool	Yes.
vehicle engine	vehicle engine	has subtype	truck engine idling	Yes.
railroad car or train wagon	railroad car or train wagon	has sibling	rail transport	Yes.
jingle music	jingle music	performed by	music producer	Yes.
motorcycle wheel rolling	motorcycle wheel rolling	occurs in	city center	Yes.
sound of things	sound of things	has subtype	tractor	Yes.
scratch	scratch	responds to	pencil on plastic	Yes.
rowboat canoe kayak	rowboat canoe kayak	localized in	water	Yes.
water vehicle	water vehicle	part of scene	boat	Yes.
lullaby	lullaby	temporal component of	singing	Yes.
dog	dog	has children	dog howling	Yes.
pheasant crowing	pheasant crowing	has sibling	bird	Yes.
finger snapping	finger snapping	has sibling	hands	Yes.
hammering	hammering	can be heard in	workshop	Yes.
bell ringing	bell ringing	has children	doorbell	Yes.
pulleys	pulleys	has parent	tools	Yes.
car engine	car engine	occurs in	city center	Yes.
sound of things	sound of things	has subtype	ding-dong	Yes.
chainsaw	chainsaw	temporal component of	sawing	Yes.
bugle	bugle	precedes	police siren	Yes.
keys jangling	keys jangling	precedes	door opening	Yes.
domestic sounds	domestic sounds	has subtype	toilet flush	Yes.
bus	bus	occurs in	street	Yes.
dog pant	dog pant	has sibling	dog	Yes.
waterfall	waterfall	follows	waterfall roar	Yes.
shuffling cards	shuffling cards	belongs to class	things	Yes.
police radio chatter	police radio chatter	precedes	police siren	Yes.
noise	noise	has subtype	vibration	Yes.
bongos	bongos	produces	percussion	Yes.
goat or sheep bleat	goat or sheep bleat	has duration	medium	Yes.
animal	animal	has subtype	baltimore oriole calling	Yes.
engine idling	engine idling	has children	car engine idling	Yes.
beatboxing music	beatboxing music	performed by	musician	Yes.
tools	tools	has subtype	arc welding	Yes.
ding-dong	ding-dong	belongs to class	bell	Yes.
ukulele	ukulele	indicates	instrument	Yes.
kettle whistle	kettle whistle	belongs to class	things	Yes.
cow	cow	responds to	pasture	Yes.
duck	duck	belongs to class	animal	Yes.
music	music	has subtype	clavinet	Yes.
skateboard	skateboard	occurs in	half-pipe	Yes.
mechanical fan	mechanical fan	temporal component of	humidification system	Yes.
oboe	oboe	indicates	solo instrument	Yes.
applause	applause	caused by	applause cheering	Yes.
reverberation	reverberation	part of scene	amphitheater	Yes.
bee or wasp	bee or wasp	belongs to class	animal	Yes.
sound of things	sound of things	has subtype	brushing teeth	Yes.
ping	ping	is a type of	computer	Yes.
harp	harp	has timbre	woody	Yes.
hiccup	hiccup	has sibling	digestive	Yes.
car	car	originates from	vehicle	Yes.
animal	animal	has subtype	goat or sheep bleat	Yes.
music mood	music mood	has subtype	funny music	Yes.
raindrop	raindrop	belongs to class	water drop	Yes.
miscellaneous sources	miscellaneous sources	has sibling	things	Yes.
child babbling	child babbling	occurs in	shopping mall	Yes.
object impact	object impact	has children	object fall	Yes.
outdoor urban or manmade	outdoor urban or manmade	occurs in	truck interior	Yes.
door	door	occurs in	street	Yes.
bell ringing	bell ringing	scene contains	school bell	Yes.
car engine idling	car engine idling	has sibling	car engine	Yes.
lullaby	lullaby	can be heard in	bedroom	Yes.
reverberation	reverberation	belongs to class	acoustic environment	Yes.
mechanisms	mechanisms	has sibling	things	Yes.
black capped chickadee calling	black capped chickadee calling	produced during	morning	Yes.
road vehicle	road vehicle	has subtype	air brake	Yes.
guiro	guiro	scene contains	street performers	Yes.
large vehicle	large vehicle	has subtype	truck	Yes.
dance music	dance music	produced during	party	Yes.
percussion	percussion	is sound of	maracas	Yes.
environmental noise	environmental noise	perceived as	urban soundscape	Yes.
human non-speech sounds	human non-speech sounds	has subtype	male screaming	Yes.
woodpecker	woodpecker	follows	wood carving	Yes.
walking	walking	produces	footsteps	Yes.
farm animal	farm animal	has children	horse	Yes.
telephone dialing	telephone dialing	occurs in	billiard pool hall	Yes.
shofar	shofar	occurs in	synagogue	Yes.
pigeon cooing	pigeon cooing	belongs to class	wild animal	Yes.
airplane	airplane	co-occurs with	air traffic control	Yes.
bird wings flap	bird wings flap	has parent	bird	Yes.
music	music	has subtype	lullaby	Yes.
horse clip-clop	horse clip-clop	used for	indicating arrival	Yes.
classical music	classical music	belongs to class	instrumental music	Yes.
television	television	temporal component of	broadcasting	Yes.
oboe	oboe	can be heard in	concert hall	Yes.
percussion	percussion	has subtype	marimba and xylophone	Yes.
wheeze	wheeze	described by	a sound heard during breathing that may indicate asthma or other allergic reactions	Yes.
tabla	tabla	associated with environment	indian classical music performance	Yes.
medium engine (mid frequency)	medium engine (mid frequency)	has subtype	motorcycle engine accelerating	Yes.
truck engine idling	truck engine idling	temporal component of	vehicle operation	Yes.
outdoor environment	outdoor environment	occurs in	construction site	Yes.
firecracker	firecracker	used for	celebration	Yes.
wild animal	wild animal	has subtype	crow caw	Yes.
marimba and xylophone	marimba and xylophone	belongs to class	musical instrument	Yes.
sliding door	sliding door	has parent	domestic sounds	Yes.
kitchen sounds	kitchen sounds	scene contains	humming refrigerator	Yes.
